CustomerID,FullName,Gender,Country,DateOfBirth,Age,DocumentType,KYCStatus,RiskLevel,OnboardingStatus,GuardianName,GuardianDOB,NotificationStatus,Time log
CUST1001,Allison Hill,Male,Spain,12-03-1972,53,Passport,Success,High,Completed,Noah Rhodes,02-08-1978,Sent,01:00
CUST1002,Angie Henderson,Male,Ireland,04-07-2023,2,Passport,Failed,Low,Failed,NA,NA,Rejected,00:30
CUST1003,Cristian Santos,Male,Ireland,15-08-1981,43,GNIB Card,Failed,Low,Failed,Connie Lawrence,21-09-1956,Pending,01:00
CUST1004,Abigail Shaffer,Female,Spain,20-07-1986,38,Driving Licence,Failed,Medium,Failed,Gina Moore,26-03-1976,Pending,01:00
CUST1005,Gabrielle Davis,Female,Spain,28-12-1995,29,Passport,Failed,Medium,Failed,Ryan Munoz,09-03-1947,Pending,01:00
CUST1006,Monica Herrera,Male,Germany,30-12-1991,33,Passport,Failed,High,Failed,Jamie Arnold,18-01-1946,Pending,01:00
CUST1007,Lisa Hensley,Male,Spain,04-08-2001,23,Passport,Failed,Low,Failed,Michele Williams,26-05-1971,Pending,01:00
CUST1008,Dylan Miller,Female,Italy,30-08-1948,76,Driving Licence,Success,Medium,Completed,Brian Ramirez,02-04-1963,Sent,01:00
CUST1009,Holly Wood,Female,Spain,12-10-1985,39,GNIB Card,Success,Low,Completed,Derek Zuniga,07-01-1956,Sent,01:00
CUST1010,Lisa Jackson,Female,Ireland,29-07-1978,46,Driving Licence,Success,Low,Completed,Carla Gray,02-02-1983,Sent,01:00
CUST1011,Margaret Hawkins DDS,Female,Italy,23-03-1999,26,GNIB Card,Failed,Low,Failed,Patty Perez,10-11-1943,Pending,01:00
CUST1012,Ethan Adams,Female,Germany,26-02-1989,36,Passport,Success,High,Completed,Tommy Walter,19-10-1949,Sent,01:00
CUST1013,Matthew Foster,Female,Ireland,25-09-1952,72,Driving Licence,Failed,Low,Failed,Judy Baker,27-10-1976,Pending,01:00
CUST1014,Justin Baker,Female,Spain,13-05-2001,24,Passport,Success,High,Completed,Stephanie Ross,17-09-1957,Sent,01:00
CUST1015,Zachary Hicks,Male,Germany,17-09-1958,66,Driving Licence,Failed,High,Failed,Anthony Rodriguez,29-07-1984,Pending,01:00
CUST1016,Rebecca Henderson,Male,Ireland,21-08-1972,52,Driving Licence,Success,Medium,Completed,James Ferrell,30-04-1958,Sent,01:00
CUST1017,Tricia Valencia,Female,Spain,01-11-1973,51,Passport,Success,High,Completed,Nathan Maldonado,24-08-1965,Sent,01:00
CUST1018,Debra Davidson,Male,France,27-04-1960,65,GNIB Card,Success,High,Completed,Jeffrey Chavez,09-11-1964,Sent,01:00
CUST1019,Sherri Baker,Male,Spain,11-02-1961,64,Passport,Success,Low,Completed,Cassandra Gaines,11-06-1949,Sent,01:00
CUST1020,Elizabeth Fowler,Male,Germany,10-10-1998,26,Passport,Success,High,Completed,Brittany Farmer,12-10-1954,Sent,01:00
CUST1021,Paula Moreno,Male,Italy,17-09-2018,7,Driving Licence,Failed,High,Failed,NA,NA,Rejected,00:30
CUST1022,Sherry Decker,Male,Italy,11-08-1955,69,GNIB Card,Failed,Medium,Failed,Anthony Humphrey,02-12-1951,Pending,01:00
CUST1023,Angelica Tucker,Male,France,12-06-1979,46,Driving Licence,Success,High,Completed,Philip Cannon,26-03-1950,Sent,01:00
CUST1024,John Pierce,Male,Spain,12-07-1997,27,GNIB Card,Success,Low,Completed,Shane Henderson,27-06-1981,Sent,01:00
CUST1025,Joshua Blair,Female,Spain,24-03-2015,10,Driving Licence,Failed,Low,Failed,NA,NA,Rejected,00:30
CUST1026,Jessica Holmes,Female,France,26-12-1946,78,Passport,Success,Low,Completed,Danny Morgan,15-12-1942,Sent,01:00
CUST1027,Crystal Robinson,Female,Germany,23-11-1954,70,GNIB Card,Success,High,Completed,Mark Perez,27-08-1943,Sent,01:00
CUST1028,Shannon Jones,Male,Spain,28-01-1956,69,Passport,Success,Low,Completed,Michael Lewis,14-10-1972,Sent,01:00
CUST1029,Timothy Duncan,Female,France,18-04-1953,72,Driving Licence,Failed,Low,Failed,Richard Aguirre,29-11-1980,Pending,01:00
CUST1030,Brent Jordan,Male,Spain,21-05-2006,19,Passport,Success,Medium,Completed,John Daniel,16-11-1953,Sent,01:00
CUST1031,Victoria Garcia,Male,Germany,15-04-2000,25,Driving Licence,Success,Medium,Completed,Gerald Hensley,26-11-1968,Sent,01:00
CUST1032,Connor West,Female,Germany,04-05-1945,80,Passport,Failed,Low,Failed,Donald Wright,20-09-1981,Pending,01:00
CUST1033,Jessica Callahan,Male,Italy,13-06-2000,25,GNIB Card,Failed,High,Failed,Amber Kidd,01-05-1952,Pending,01:00
CUST1034,Tracy House,Male,Ireland,05-04-1997,28,Passport,Success,High,Completed,Carol Tucker,22-12-1969,Sent,01:00
CUST1035,James Brown,Male,Ireland,22-09-1975,49,GNIB Card,Success,High,Completed,William Baker,12-12-1979,Sent,01:00
CUST1036,Jordan Henderson,Female,Italy,05-08-1980,44,GNIB Card,Failed,Low,Failed,Whitney Peters,26-12-1968,Pending,01:00
CUST1037,Brittney Phillips,Male,Italy,10-02-1949,76,Passport,Success,Medium,Completed,Lauren Daniels,07-10-1945,Sent,01:00
CUST1038,Amy Silva,Male,Spain,28-10-1979,45,Driving Licence,Success,Medium,Completed,Sarah Moore,10-03-1981,Sent,01:00
CUST1039,Angela Lopez,Female,Italy,30-11-1986,38,GNIB Card,Failed,High,Failed,Megan Young,26-10-1943,Pending,01:00
CUST1040,Steve Sanchez,Male,Ireland,11-08-1968,56,Passport,Success,Medium,Completed,Lisa Barnes,21-05-1978,Sent,01:00
CUST1041,Kelly Donovan,Male,Italy,10-09-1970,54,Passport,Failed,Low,Failed,Mike Allen,02-09-1941,Pending,01:00
CUST1042,Michael Evans,Female,Ireland,16-03-1945,80,Passport,Success,High,Completed,Paul Jones,28-02-1958,Sent,01:00
